time,signal
382,542
383,545
384,532
385,540
386,543
2,534
3,546
4,540
5,535
6,532
7,542
9,537
10,540
11,541
12,543
13,537
14,535
16,546
17,536
18,535
19,533
20,543
21,549
23,535
24,528
25,526
26,552
27,537
28,535
30,541
31,532
32,537
33,536
34,541
35,533
37,542
38,541
39,531
40,538
41,525
42,550
44,552
45,532
46,528
47,544
48,540
49,536
51,534
52,536
53,552
54,545
55,545
56,537
58,536
59,534
60,535
61,549
62,544
63,544
65,528
66,535
67,540
68,545
69,558
70,535
72,532
73,526
74,537
75,546
76,543
77,545
79,532
80,541
81,538
82,541
83,537
84,546
86,544
87,540
88,537
89,542
90,544
91,533
93,550
94,549
95,534
96,534
97,535
98,541
100,550
101,536
102,540
103,538
104,547
105,534
106,534
107,534
108,542
109,550
110,537
111,489
112,530
113,555
114,542
115,540
116,546
117,536
119,528
120,547
121,536
122,541
123,541
125,541
126,537
127,543
128,538
129,540
131,544
132,543
133,540
134,535
135,535
137,544
138,545
139,534
140,542
141,535
143,545
144,534
145,534
146,543
147,541
149,535
150,544
151,528
152,540
153,542
154,540
155,542
156,536
157,535
158,538
159,535
160,541
161,549
162,535
163,540
164,526
165,540
166,545
168,545
169,541
170,537
171,532
172,532
174,536
175,543
176,545
177,531
178,537
180,533
181,541
182,536
183,542
184,540
186,538
187,537
188,543
189,544
190,540
192,533
193,542
194,540
195,540
196,552
198,536
199,534
200,535
201,534
202,538
203,541
204,528
205,535
206,541
207,541
208,544
209,542
210,537
211,537
212,535
213,537
214,535
215,543
217,535
218,533
219,540
220,541
221,537
223,542
224,535
225,533
226,540
227,535
229,538
230,541
231,541
232,533
233,541
235,537
236,552
237,543
238,536
239,542
241,547
242,537
243,535
244,537
245,544
247,535
248,542
249,540
250,535
251,541
252,537
253,536
254,543
255,540
256,537
257,546
258,528
259,548
260,541
261,541
262,534
263,533
264,546
266,542
267,545
268,541
269,545
270,528
1,542
272,536
273,544
274,541
275,535
276,537
278,540
279,543
280,546
281,534
282,541
284,542
285,545
286,526
287,542
288,545
290,540
291,528
292,548
293,541
294,536
296,540
297,533
298,542
299,546
300,545
301,542
302,541
303,536
304,534
305,537
306,545
307,536
308,540
309,546
310,535
311,536
312,537
313,537
315,549
316,545
317,536
318,535
319,541
0,535
321,536
322,536
323,542
324,538
325,537
327,542
328,540
329,540
330,536
331,537
333,535
334,547
335,535
336,533
337,542
339,545
340,543
341,535
342,545
343,535
345,538
346,537
347,537
348,544
349,548
350,541
351,532
352,540
353,542
354,542
355,540
356,536
357,535
358,546
359,536
360,536
361,536
362,536
364,536
365,547
366,544
367,534
368,541
370,535
371,534
372,544
373,537
374,537
376,541
377,531
378,542
379,542
380,534
388,544
389,543
390,540
391,534
392,544
394,544
395,535
396,542
397,534
398,550
399,547
400,543
401,536
402,541
403,533
404,533
405,544
406,541
407,541
408,541
409,534
410,542
411,536
413,535
414,538
415,536
416,535
417,545
419,535
420,532
421,547
422,541
423,542
425,542
426,542
427,536
428,541
429,537
431,540
432,540
433,536
434,535
435,544
437,541
438,535
439,536
440,545
441,541
443,536
444,547
445,545
446,537
447,536
448,543
449,548
450,535
451,536
452,536
453,540
454,552
455,533
456,541
457,537
458,531
459,546
460,542
462,535
463,537
464,538
465,542
466,540
468,537
469,540
470,542
471,542
472,541
474,537
475,535
476,542
477,536
478,543
480,542
481,532
482,536
483,540
484,538
486,532
487,540
488,546
489,534
490,540
492,537
493,547
494,542
495,541
496,543
497,543
498,538
499,543
500,535
501,546
502,535
503,538
504,537
505,533
506,537
507,543
508,542
509,546
511,545
512,536
513,537
514,540
515,537
517,545
518,507
519,560
520,541
521,552
523,540
524,555
525,547
526,542
527,546
529,549
530,534
531,550
532,554
533,544
535,540
536,535
537,547
538,544
539,545
541,542
542,538
543,534
544,546
545,546
546,537
547,547
548,528
549,540
550,536
551,535
552,542
553,541
554,547
555,533
556,533
557,548
558,534
560,538
561,545
562,528
563,536
564,528
566,532
567,536
568,547
569,533
570,543
572,532
573,540
574,536
575,540
576,541
578,546
579,535
580,535
581,540
582,535
584,552
585,545
586,544
587,545
588,537
590,546
591,549
592,554
593,541
594,546
595,540
596,538
597,546
598,546
599,553
600,543
601,541
602,547
603,546
604,547
605,535
606,546
607,547
609,537
610,545
611,550
612,536
613,532
615,538
616,540
617,537
618,543
619,532
621,535
622,543
623,545
624,545
625,549
627,536
628,544
629,533
630,537
631,537
633,542
634,542
635,534
636,542
637,540
639,532
640,541
641,541
642,531
643,548
644,545
645,533
646,545
647,552
648,535
649,543
650,530
651,540
652,538
653,541
654,532
655,536
656,547
658,535
659,541
660,530
661,545
662,535
664,533
665,542
666,540
667,542
668,533
670,545
671,536
672,541
673,537
674,538
676,538
677,542
678,546
679,540
680,549
682,546
683,537
684,543
685,538
686,540
688,542
689,536
690,546
691,549
692,535
693,542
694,547
695,534
696,528
697,545
698,547
699,534
700,533
701,542
702,541
703,536
704,553
705,537
707,540
708,534
709,537
710,537
711,540
713,537
714,543
715,536
716,537
717,540
719,525
720,543
721,537
722,533
723,544
725,537
726,540
727,543
728,540
729,541
731,538
732,543
733,546
734,542
735,526
737,545
738,541
739,535
740,538
741,540
742,537
743,541
744,542
745,541
746,535
747,542
748,542
749,536
750,538
751,542
752,540
753,536
754,542
756,534
757,541
758,537
759,546
760,533
762,542
763,540
764,544
765,536
766,540
768,536
769,536
770,536
771,536
772,533
774,538
775,540
776,536
777,534
778,537
780,528
781,542
782,541
783,543
784,541
786,537
787,534
788,531
789,543
790,535
791,547
792,541
793,535
794,537
795,542
796,547
